om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
58,1950,4,28,4/28/1950,17:00:00,3,KS,20,1,1,0,0,4,0,38.12,-95.85,38.35,-95.63,19.8,10,1,1,1,31,0,0,0,0
107,1950,5,16,5/16/1950,18:00:00,3,KS,20,11,2,0,0,3,0,37.55,-98.42,0,0,0.2,200,1,1,1,95,0,0,0,0
110,1950,5,18,5/18/1950,19:00:00,3,KS,20,12,3,2,0,5,0,38.12,-96.82,38.33,-96.82,14.9,100,1,1,1,17,0,0,0,0
111,1950,5,18,5/18/1950,19:00:00,3,KS,20,13,0,0,0,3,0,39.85,-98.3,0,0,0.1,10,1,1,1,89,0,0,0,0
112,1950,5,19,5/19/1950,1:30:00,3,KS,20,14,0,0,0,3,0,37.82,-96.85,0,0,0.1,10,1,1,1,15,0,0,0,0
114,1950,5,23,5/23/1950,18:00:00,3,KS,20,15,0,0,0,4,0,39.75,-99.32,0,0,0.2,250,1,1,1,147,0,0,0,0
115,1950,5,24,5/24/1950,13:30:00,3,KS,20,16,2,1,0,3,0,37.27,-99.48,37.28,-99.42,3.6,77,1,1,1,33,0,0,0,0
116,1950,5,24,5/24/1950,17:30:00,3,KS,20,17,1,0,0,4,0,39.38,-96.97,39.45,-96.78,10.7,40,1,1,1,161,0,0,0,0
73,1950,5,4,5/4/1950,20:00:00,3,KS,20,2,1,0,0,4,0,38.68,-99.32,0,0,0.1,10,1,1,1,165,0,0,0,0
79,1950,5,4,5/4/1950,23:10:00,3,KS,20,3,4,1,0,5,0,38.03,-99.12,38.45,-98.78,34.3,150,1,1,1,9,145,0,0,0
80,1950,5,5,5/5/1950,3:30:00,3,KS,20,4,3,12,0,5,0,39.62,-95.62,39.85,-95.52,17.3,440,1,1,1,85,13,0,0,0
86,1950,5,8,5/8/1950,18:30:00,3,KS,20,5,2,0,0,5,0,39.35,-98.48,39.47,-98.3,12.6,660,1,1,1,123,0,0,0,0
87,1950,5,8,5/8/1950,19:00:00,3,KS,20,6,2,1,0,4,0,39.57,-98.3,39.63,-98.2,6.8,10,1,1,1,89,0,0,0,0
89,1950,5,8,5/8/1950,19:30:00,3,KS,20,7,2,2,0,4,0,39.23,-98.95,39.23,-98.58,19.6,440,1,1,1,141,0,0,0,0
90,1950,5,8,5/8/1950,21:17:00,3,KS,20,8,1,1,0,4,0,39.4,-97.65,0,0,0.1,10,1,1,1,29,0,0,0,0
91,1950,5,8,5/8/1950,21:30:00,3,KS,20,9,1,0,0,0,0,39.72,-97.77,0,0,0.1,10,1,1,1,157,0,0,0,0
93,1950,5,9,5/9/1950,0:01:00,3,KS,20,10,1,0,0,4,0,39.2,-96.58,0,0,0.1,10,1,1,1,161,0,0,0,1
143,1950,6,16,6/16/1950,15:30:00,3,KS,20,19,1,0,0,4,0,38.28,-101.28,38.7,-101.13,29.9,10,1,1,1,203,0,0,0,0
146,1950,6,25,6/25/1950,18:45:00,3,KS,20,20,0,0,0,3,0,37.77,-97.47,0,0,0.1,10,1,1,1,173,0,0,0,0
